"","index","Timestamp","T_72","T_48","T_24","T_3","T_2","T_1","T_0","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Closed","OutsideTemperature","Output","ID"
"42",42,2013-01-06 07:00:00,28662.1735100675,40994.7483842478,29015.6085133415,32910.5523978836,31845.7399649142,30121.5180397149,31343.5599977717,1,0,0,0,0,0,0,1,14.95,34222.477676353,114
"43",43,2013-01-06 08:00:00,34322.1712706748,44201.1170973702,29345.4458307254,31845.7399649142,30121.5180397149,31343.5599977717,34222.477676353,1,0,0,0,0,0,0,1,16,35377.7037148111,115
"44",44,2013-01-06 09:00:00,40613.7385570125,45534.5189214249,29996.6359042745,30121.5180397149,31343.5599977717,34222.477676353,35377.7037148111,1,0,0,0,0,0,0,1,16,38841.790974957,116
"45",45,2013-01-06 10:00:00,43723.3302437321,49726.4224486278,32700.0292226402,31343.5599977717,34222.477676353,35377.7037148111,38841.790974957,1,0,0,0,0,0,0,1,18.7,46034.0474631864,117
"46",46,2013-01-06 13:00:00,56342.7893441258,53657.4257183502,36429.7893059522,34222.477676353,35377.7037148111,38841.790974957,46034.0474631864,1,0,0,0,0,0,0,1,25.1,49456.2422023141,118
"47",47,2013-01-06 15:00:00,57070.8707537209,62196.3411575388,40396.0565332406,35377.7037148111,38841.790974957,46034.0474631864,49456.2422023141,1,0,0,0,0,0,0,1,25,44863.7083000572,119
"48",48,2013-01-06 16:00:00,60591.43337448,64139.8359617385,41977.1014878713,38841.790974957,46034.0474631864,49456.2422023141,44863.7083000572,1,0,0,0,0,0,0,1,22.9,42272.7354178416,120
"49",49,2013-01-06 17:00:00,62967.3756583045,64870.5687967146,43274.4439267457,46034.0474631864,49456.2422023141,44863.7083000572,42272.7354178416,1,0,0,0,0,0,0,1,23,40789.7932023042,121
"50",50,2013-01-06 18:00:00,64762.6557837119,62748.3679218422,45129.9114082995,49456.2422023141,44863.7083000572,42272.7354178416,40789.7932023042,1,0,0,0,0,0,0,1,22,39048.3370121291,122
"51",51,2013-01-06 19:00:00,64380.8505288623,54300.3963732185,44359.1420500719,44863.7083000572,42272.7354178416,40789.7932023042,39048.3370121291,1,0,0,0,0,0,0,1,21.05,36764.929474098,123
"52",52,2013-01-06 20:00:00,42925.5163466192,24496.7842366735,43910.2557330855,42272.7354178416,40789.7932023042,39048.3370121291,36764.929474098,1,0,0,0,0,0,0,1,20,39164.2043012744,124
"53",53,2013-01-06 21:00:00,37787.5842435111,23225.6909090701,43051.1939096739,40789.7932023042,39048.3370121291,36764.929474098,39164.2043012744,1,0,0,0,0,0,0,1,19,40121.1037212413,125
"54",54,2013-01-06 22:00:00,37132.6821744288,21109.8534551118,41172.12874223,39048.3370121291,36764.929474098,39164.2043012744,40121.1037212413,1,0,0,0,0,0,0,1,19,38396.3515109658,126
"55",55,2013-01-06 23:00:00,33971.1225502436,20014.549630262,37615.5067362907,36764.929474098,39164.2043012744,40121.1037212413,38396.3515109658,1,0,0,0,0,0,0,1,19,38466.0839984835,127
"56",56,2013-01-07 00:00:00,19343.7390088943,20713.7305032054,38688.2734454029,39164.2043012744,40121.1037212413,38396.3515109658,38466.0839984835,0,0,0,0,0,0,0,0,18,35228.6936084045,128
"57",57,2013-01-07 01:00:00,21022.3564175421,21231.8190226332,39205.8316797546,40121.1037212413,38396.3515109658,38466.0839984835,35228.6936084045,0,0,0,0,0,0,0,0,18.7,33597.8018566129,129
"58",58,2013-01-07 02:00:00,20477.7536443052,21923.8410470481,37846.9761720433,38396.3515109658,38466.0839984835,35228.6936084045,33597.8018566129,0,0,0,0,0,0,0,0,18,32437.5381099311,130
"59",59,2013-01-07 03:00:00,31395.7930777754,34572.2006840937,37751.5248583309,38466.0839984835,35228.6936084045,33597.8018566129,32437.5381099311,0,0,0,0,0,0,0,0,17,31458.8970018408,131
"60",60,2013-01-07 04:00:00,31427.3450398081,35000.405883109,36526.5663323551,35228.6936084045,33597.8018566129,32437.5381099311,31458.8970018408,0,0,0,0,0,0,0,0,17.25,34114.0343782741,132
"61",61,2013-01-07 05:00:00,31976.9855212687,32023.1203228964,35787.8792212363,33597.8018566129,32437.5381099311,31458.8970018408,34114.0343782741,0,0,0,0,0,0,0,0,17,121761.407767072,133
"62",62,2013-01-07 06:00:00,33165.6195195262,31960.8118264452,34183.2365807156,32437.5381099311,31458.8970018408,34114.0343782741,121761.407767072,0,0,0,0,0,0,0,0,17,196499.521261344,134
"63",63,2013-01-07 07:00:00,33640.4898052454,32127.8516254419,32910.5523978836,31458.8970018408,34114.0343782741,121761.407767072,196499.521261344,0,0,0,0,0,0,0,0,18.15,207673.68838661,135
"64",64,2013-01-07 08:00:00,33387.0135388314,30218.2950661177,31845.7399649142,34114.0343782741,121761.407767072,196499.521261344,207673.68838661,0,0,0,0,0,0,0,0,19,216114.766229243,136
"65",65,2013-01-07 09:00:00,36160.1393447147,27480.9635028765,30121.5180397149,121761.407767072,196499.521261344,207673.68838661,216114.766229243,0,0,0,0,0,0,0,0,20,223848.178637714,137
"66",66,2013-01-07 10:00:00,40994.7483842478,29015.6085133415,31343.5599977717,196499.521261344,207673.68838661,216114.766229243,223848.178637714,0,0,0,0,0,0,0,0,21.4,231970.555149563,138
"67",67,2013-01-07 11:00:00,44201.1170973702,29345.4458307254,34222.477676353,207673.68838661,216114.766229243,223848.178637714,231970.555149563,0,0,0,0,0,0,0,0,20,231567.803634205,139
"68",68,2013-01-07 12:00:00,45534.5189214249,29996.6359042745,35377.7037148111,216114.766229243,223848.178637714,231970.555149563,231567.803634205,0,0,0,0,0,0,0,0,21,232959.271674101,140
"69",69,2013-01-07 13:00:00,49726.4224486278,32700.0292226402,38841.790974957,223848.178637714,231970.555149563,231567.803634205,232959.271674101,0,0,0,0,0,0,0,0,21.45,222621.894399048,141
"70",70,2013-01-07 14:00:00,53657.4257183502,36429.7893059522,46034.0474631864,231970.555149563,231567.803634205,232959.271674101,222621.894399048,0,0,0,0,0,0,0,0,21,209835.395499657,142
"71",71,2013-01-07 15:00:00,62196.3411575388,40396.0565332406,49456.2422023141,231567.803634205,232959.271674101,222621.894399048,209835.395499657,0,0,0,0,0,0,0,0,22,183554.732266714,143
"72",72,2013-01-07 16:00:00,64139.8359617385,41977.1014878713,44863.7083000572,232959.271674101,222621.894399048,209835.395499657,183554.732266714,0,0,0,0,0,0,0,0,21.4,155098.044223667,144
"73",73,2013-01-07 17:00:00,64870.5687967146,43274.4439267457,42272.7354178416,222621.894399048,209835.395499657,183554.732266714,155098.044223667,0,0,0,0,0,0,0,0,20,112668.344423276,145
"74",74,2013-01-07 18:00:00,62748.3679218422,45129.9114082995,40789.7932023042,209835.395499657,183554.732266714,155098.044223667,112668.344423276,0,0,0,0,0,0,0,0,19,43745.3370743935,146
"75",75,2013-01-07 19:00:00,54300.3963732185,44359.1420500719,39048.3370121291,183554.732266714,155098.044223667,112668.344423276,43745.3370743935,0,0,0,0,0,0,0,0,19.1,30635.6294210714,147
"76",76,2013-01-07 20:00:00,24496.7842366735,43910.2557330855,36764.929474098,155098.044223667,112668.344423276,43745.3370743935,30635.6294210714,0,0,0,0,0,0,0,0,19,26320.4346136566,148
"77",77,2013-01-07 21:00:00,23225.6909090701,43051.1939096739,39164.2043012744,112668.344423276,43745.3370743935,30635.6294210714,26320.4346136566,0,0,0,0,0,0,0,0,18,22998.728896465,149
"78",78,2013-01-07 22:00:00,21109.8534551118,41172.12874223,40121.1037212413,43745.3370743935,30635.6294210714,26320.4346136566,22998.728896465,0,0,0,0,0,0,0,0,18.15,24373.4929564617,150
"79",79,2013-01-07 23:00:00,20014.549630262,37615.5067362907,38396.3515109658,30635.6294210714,26320.4346136566,22998.728896465,24373.4929564617,0,0,0,0,0,0,0,0,18,32237.3554936731,151
"80",80,2013-01-08 00:00:00,20713.7305032054,38688.2734454029,38466.0839984835,26320.4346136566,22998.728896465,24373.4929564617,32237.3554936731,0,0,1,0,0,0,0,0,18,34163.8811754351,152
"81",81,2013-01-08 01:00:00,21231.8190226332,39205.8316797546,35228.6936084045,22998.728896465,24373.4929564617,32237.3554936731,34163.8811754351,0,0,1,0,0,0,0,0,17.9,33056.3807938331,153
"82",82,2013-01-08 02:00:00,21923.8410470481,37846.9761720433,33597.8018566129,24373.4929564617,32237.3554936731,34163.8811754351,33056.3807938331,0,0,1,0,0,0,0,0,18,31910.4347442081,154
"83",83,2013-01-08 03:00:00,34572.2006840937,37751.5248583309,32437.5381099311,32237.3554936731,34163.8811754351,33056.3807938331,31910.4347442081,0,0,1,0,0,0,0,0,17,32476.2489204922,155
"84",84,2013-01-08 04:00:00,35000.405883109,36526.5663323551,31458.8970018408,34163.8811754351,33056.3807938331,31910.4347442081,32476.2489204922,0,0,1,0,0,0,0,0,17.1,37473.3903358745,156
"85",85,2013-01-08 05:00:00,32023.1203228964,35787.8792212363,34114.0343782741,33056.3807938331,31910.4347442081,32476.2489204922,37473.3903358745,0,0,1,0,0,0,0,0,17,131285.592877803,157
"86",86,2013-01-08 06:00:00,31960.8118264452,34183.2365807156,121761.407767072,31910.4347442081,32476.2489204922,37473.3903358745,131285.592877803,0,0,1,0,0,0,0,0,17,187344.414563635,158
"87",87,2013-01-08 07:00:00,32127.8516254419,32910.5523978836,196499.521261344,32476.2489204922,37473.3903358745,131285.592877803,187344.414563635,0,0,1,0,0,0,0,0,17.25,206903.714455996,159
"88",88,2013-01-08 08:00:00,30218.2950661177,31845.7399649142,207673.68838661,37473.3903358745,131285.592877803,187344.414563635,206903.714455996,0,0,1,0,0,0,0,0,18,220151.826514201,160
"89",89,2013-01-08 09:00:00,27480.9635028765,30121.5180397149,216114.766229243,131285.592877803,187344.414563635,206903.714455996,220151.826514201,0,0,1,0,0,0,0,0,18,220831.917124402,161
"90",90,2013-01-08 10:00:00,29015.6085133415,31343.5599977717,223848.178637714,187344.414563635,206903.714455996,220151.826514201,220831.917124402,0,0,1,0,0,0,0,0,19.55,225051.130333028,162
"91",91,2013-01-08 11:00:00,29345.4458307254,34222.477676353,231970.555149563,206903.714455996,220151.826514201,220831.917124402,225051.130333028,0,0,1,0,0,0,0,0,20,224505.201847101,163
"92",92,2013-01-08 12:00:00,29996.6359042745,35377.7037148111,231567.803634205,220151.826514201,220831.917124402,225051.130333028,224505.201847101,0,0,1,0,0,0,0,0,20,230537.459731187,164
"93",93,2013-01-08 13:00:00,32700.0292226402,38841.790974957,232959.271674101,220831.917124402,225051.130333028,224505.201847101,230537.459731187,0,0,1,0,0,0,0,0,21.5,235743.533466584,165
"94",94,2013-01-08 14:00:00,36429.7893059522,46034.0474631864,222621.894399048,225051.130333028,224505.201847101,230537.459731187,235743.533466584,0,0,1,0,0,0,0,0,22,233702.466208367,166
"95",95,2013-01-08 15:00:00,40396.0565332406,49456.2422023141,209835.395499657,224505.201847101,230537.459731187,235743.533466584,233702.466208367,0,0,1,0,0,0,0,0,21,192474.3923906,167
"96",96,2013-01-08 16:00:00,41977.1014878713,44863.7083000572,183554.732266714,230537.459731187,235743.533466584,233702.466208367,192474.3923906,0,0,1,0,0,0,0,0,20.9,167006.921321979,168
"97",97,2013-01-08 17:00:00,43274.4439267457,42272.7354178416,155098.044223667,235743.533466584,233702.466208367,192474.3923906,167006.921321979,0,0,1,0,0,0,0,0,22,81330.3524188039,169
"98",98,2013-01-08 18:00:00,45129.9114082995,40789.7932023042,112668.344423276,233702.466208367,192474.3923906,167006.921321979,81330.3524188039,0,0,1,0,0,0,0,0,21,45515.6938012205,170
"99",99,2013-01-08 19:00:00,44359.1420500719,39048.3370121291,43745.3370743935,192474.3923906,167006.921321979,81330.3524188039,45515.6938012205,0,0,1,0,0,0,0,0,20.15,30197.6139481467,171
"100",100,2013-01-08 20:00:00,43910.2557330855,36764.929474098,30635.6294210714,167006.921321979,81330.3524188039,45515.6938012205,30197.6139481467,0,0,1,0,0,0,0,0,19,23711.697181389,172
"101",101,2013-01-08 21:00:00,43051.1939096739,39164.2043012744,26320.4346136566,81330.3524188039,45515.6938012205,30197.6139481467,23711.697181389,0,0,1,0,0,0,0,0,19,22671.0127193858,173
"102",102,2013-01-08 22:00:00,41172.12874223,40121.1037212413,22998.728896465,45515.6938012205,30197.6139481467,23711.697181389,22671.0127193858,0,0,1,0,0,0,0,0,17.8,23498.5225807647,174
"103",103,2013-01-08 23:00:00,37615.5067362907,38396.3515109658,24373.4929564617,30197.6139481467,23711.697181389,22671.0127193858,23498.5225807647,0,0,1,0,0,0,0,0,18,32606.6990492325,175
"104",104,2013-01-09 00:00:00,38688.2734454029,38466.0839984835,32237.3554936731,23711.697181389,22671.0127193858,23498.5225807647,32606.6990492325,0,0,0,1,0,0,0,0,18,36597.8896751013,176
"105",105,2013-01-09 01:00:00,39205.8316797546,35228.6936084045,34163.8811754351,22671.0127193858,23498.5225807647,32606.6990492325,36597.8896751013,0,0,0,1,0,0,0,0,16.85,33499.4339749815,177
"106",106,2013-01-09 02:00:00,37846.9761720433,33597.8018566129,33056.3807938331,23498.5225807647,32606.6990492325,36597.8896751013,33499.4339749815,0,0,0,1,0,0,0,0,17,32801.0485296524,178
"107",107,2013-01-09 03:00:00,37751.5248583309,32437.5381099311,31910.4347442081,32606.6990492325,36597.8896751013,33499.4339749815,32801.0485296524,0,0,0,1,0,0,0,0,16,32418.4478471886,179
"108",108,2013-01-09 04:00:00,36526.5663323551,31458.8970018408,32476.2489204922,36597.8896751013,33499.4339749815,32801.0485296524,32418.4478471886,0,0,0,1,0,0,0,0,15.3,39131.5917690894,180
"109",109,2013-01-09 05:00:00,35787.8792212363,34114.0343782741,37473.3903358745,33499.4339749815,32801.0485296524,32418.4478471886,39131.5917690894,0,0,0,1,0,0,0,0,16,138466.183094357,181
"110",110,2013-01-09 06:00:00,34183.2365807156,121761.407767072,131285.592877803,32801.0485296524,32418.4478471886,39131.5917690894,138466.183094357,0,0,0,1,0,0,0,0,17,202492.272907255,182
"111",111,2013-01-09 07:00:00,32910.5523978836,196499.521261344,187344.414563635,32418.4478471886,39131.5917690894,138466.183094357,202492.272907255,0,0,0,1,0,0,0,0,16.8,215498.044685646,183
"112",112,2013-01-09 08:00:00,31845.7399649142,207673.68838661,206903.714455996,39131.5917690894,138466.183094357,202492.272907255,215498.044685646,0,0,0,1,0,0,0,0,19,223917.115697618,184
"113",113,2013-01-09 09:00:00,30121.5180397149,216114.766229243,220151.826514201,138466.183094357,202492.272907255,215498.044685646,223917.115697618,0,0,0,1,0,0,0,0,21,237821.455537595,185
"114",114,2013-01-09 10:00:00,31343.5599977717,223848.178637714,220831.917124402,202492.272907255,215498.044685646,223917.115697618,237821.455537595,0,0,0,1,0,0,0,0,21.85,248814.795451883,186
"115",115,2013-01-09 11:00:00,34222.477676353,231970.555149563,225051.130333028,215498.044685646,223917.115697618,237821.455537595,248814.795451883,0,0,0,1,0,0,0,0,23,254079.730830736,187
"116",116,2013-01-09 12:00:00,35377.7037148111,231567.803634205,224505.201847101,223917.115697618,237821.455537595,248814.795451883,254079.730830736,0,0,0,1,0,0,0,0,24,247558.284963875,188
"117",117,2013-01-09 13:00:00,38841.790974957,232959.271674101,230537.459731187,237821.455537595,248814.795451883,254079.730830736,247558.284963875,0,0,0,1,0,0,0,0,24.95,241252.930265556,189
"118",118,2013-01-09 14:00:00,46034.0474631864,222621.894399048,235743.533466584,248814.795451883,254079.730830736,247558.284963875,241252.930265556,0,0,0,1,0,0,0,0,25,245211.50835924,190
"119",119,2013-01-09 15:00:00,49456.2422023141,209835.395499657,233702.466208367,254079.730830736,247558.284963875,241252.930265556,245211.50835924,0,0,0,1,0,0,0,0,25,231545.531661005,191
"120",120,2013-01-09 16:00:00,44863.7083000572,183554.732266714,192474.3923906,247558.284963875,241252.930265556,245211.50835924,231545.531661005,0,0,0,1,0,0,0,0,24.65,207350.21449014,192
"121",121,2013-01-09 17:00:00,42272.7354178416,155098.044223667,167006.921321979,241252.930265556,245211.50835924,231545.531661005,207350.21449014,0,0,0,1,0,0,0,0,25,121448.274429588,193
"122",122,2013-01-09 18:00:00,40789.7932023042,112668.344423276,81330.3524188039,245211.50835924,231545.531661005,207350.21449014,121448.274429588,0,0,0,1,0,0,0,0,24,57343.4372828775,194
"123",123,2013-01-09 19:00:00,39048.3370121291,43745.3370743935,45515.6938012205,231545.531661005,207350.21449014,121448.274429588,57343.4372828775,0,0,0,1,0,0,0,0,23.55,32944.7557852972,195
"124",124,2013-01-09 20:00:00,36764.929474098,30635.6294210714,30197.6139481467,207350.21449014,121448.274429588,57343.4372828775,32944.7557852972,0,0,0,1,0,0,0,0,22,26065.8977770902,196
"125",125,2013-01-09 21:00:00,39164.2043012744,26320.4346136566,23711.697181389,121448.274429588,57343.4372828775,32944.7557852972,26065.8977770902,0,0,0,1,0,0,0,0,20,26295.7763576142,197
"126",126,2013-01-09 22:00:00,40121.1037212413,22998.728896465,22671.0127193858,57343.4372828775,32944.7557852972,26065.8977770902,26295.7763576142,0,0,0,1,0,0,0,0,19.75,28357.5247338021,198
"127",127,2013-01-09 23:00:00,38396.3515109658,24373.4929564617,23498.5225807647,32944.7557852972,26065.8977770902,26295.7763576142,28357.5247338021,0,0,0,1,0,0,0,0,20,41631.3556182019,199
"128",128,2013-01-10 00:00:00,38466.0839984835,32237.3554936731,32606.6990492325,26065.8977770902,26295.7763576142,28357.5247338021,41631.3556182019,0,0,0,0,1,0,0,0,20,43447.0517190423,200
"129",129,2013-01-10 01:00:00,35228.6936084045,34163.8811754351,36597.8896751013,26295.7763576142,28357.5247338021,41631.3556182019,43447.0517190423,0,0,0,0,1,0,0,0,19.7,42840.6707344304,201
"130",130,2013-01-10 02:00:00,33597.8018566129,33056.3807938331,33499.4339749815,28357.5247338021,41631.3556182019,43447.0517190423,42840.6707344304,0,0,0,0,1,0,0,0,19,47155.3352567691,202
"131",131,2013-01-10 03:00:00,32437.5381099311,31910.4347442081,32801.0485296524,41631.3556182019,43447.0517190423,42840.6707344304,47155.3352567691,0,0,0,0,1,0,0,0,18,46556.1131206857,203
"132",132,2013-01-10 04:00:00,31458.8970018408,32476.2489204922,32418.4478471886,43447.0517190423,42840.6707344304,47155.3352567691,46556.1131206857,0,0,0,0,1,0,0,0,18.75,48955.122805324,204
"133",133,2013-01-10 05:00:00,34114.0343782741,37473.3903358745,39131.5917690894,42840.6707344304,47155.3352567691,46556.1131206857,48955.122805324,0,0,0,0,1,0,0,0,19,149380.510532294,205
"134",134,2013-01-10 06:00:00,121761.407767072,131285.592877803,138466.183094357,47155.3352567691,46556.1131206857,48955.122805324,149380.510532294,0,0,0,0,1,0,0,0,19,224645.197107213,206
"135",135,2013-01-10 07:00:00,196499.521261344,187344.414563635,202492.272907255,46556.1131206857,48955.122805324,149380.510532294,224645.197107213,0,0,0,0,1,0,0,0,18.9,245480.628035401,207
"136",136,2013-01-10 08:00:00,207673.68838661,206903.714455996,215498.044685646,48955.122805324,149380.510532294,224645.197107213,245480.628035401,0,0,0,0,1,0,0,0,20,264336.50477421,208
"137",137,2013-01-10 09:00:00,216114.766229243,220151.826514201,223917.115697618,149380.510532294,224645.197107213,245480.628035401,264336.50477421,0,0,0,0,1,0,0,0,21,267197.657902739,209
