Timestamp,Value,sin_1,sin_2,sin_3,sin_4,sin_5,cos_1,cos_2,cos_3,cos_4,cos_5
14,54324.52434,-0.5,0.866025404,-1,0.866025404,-0.5,-0.866025404,0.5,-4.29E-16,-0.5,0.866025404
15,68411.01711,-0.707106781,1,-0.707106781,2.39E-15,0.707106781,-0.707106781,1.19E-15,0.707106781,-1,0.707106781
16,60568.36597,-0.866025404,0.866025404,-4.90E-16,-0.866025404,0.866025404,-0.5,-0.5,1,-0.5,-0.5
17,47143.40384,-0.965925826,0.5,0.707106781,-0.866025404,-0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
18,44876.70028,-1,3.67E-16,1,-7.35E-16,-1,-1.84E-16,-1,5.51E-16,1,8.58E-16
19,36507.47607,-0.965925826,-0.5,0.707106781,0.866025404,-0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
20,23570.64135,-0.866025404,-0.866025404,2.39E-15,0.866025404,0.866025404,0.5,-0.5,-1,-0.5,0.5
21,23676.69837,-0.707106781,-1,-0.707106781,8.57E-16,0.707106781,0.707106781,-4.29E-16,-0.707106781,-1,-0.707106781
22,22430.52844,-0.5,-0.866025404,-1,-0.866025404,-0.5,0.866025404,0.5,1.10E-15,-0.5,-0.866025404
23,23121.48989,-0.258819045,-0.5,-0.707106781,-0.866025404,-0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
0,31377.2331,0,0,0,0,0,1,1,1,1,1
1,32839.22906,0.258819045,0.5,0.707106781,0.866025404,0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
2,29363.21038,0.5,0.866025404,1,0.866025404,0.5,0.866025404,0.5,6.12E-17,-0.5,-0.866025404
3,28108.82103,0.707106781,1,0.707106781,1.22E-16,-0.707106781,0.707106781,6.12E-17,-0.707106781,-1,-0.707106781
4,27132.30107,0.866025404,0.866025404,1.22E-16,-0.866025404,-0.866025404,0.5,-0.5,-1,-0.5,0.5
5,26828.44772,0.965925826,0.5,-0.707106781,-0.866025404,0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
6,28662.17351,1,1.22E-16,-1,-2.45E-16,1,6.12E-17,-1,-1.84E-16,1,1.19E-15
7,34322.17127,0.965925826,-0.5,-0.707106781,0.866025404,0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
8,40613.73856,0.866025404,-0.866025404,-2.45E-16,0.866025404,-0.866025404,-0.5,-0.5,1,-0.5,-0.5
9,43723.33024,0.707106781,-1,0.707106781,3.67E-16,-0.707106781,-0.707106781,-1.84E-16,0.707106781,-1,0.707106781
10,56342.78934,0.5,-0.866025404,1,-0.866025404,0.5,-0.866025404,0.5,1.19E-15,-0.5,0.866025404
11,57070.87075,0.258819045,-0.5,0.707106781,-0.866025404,0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
12,60591.43337,1.22E-16,-2.45E-16,3.67E-16,-4.90E-16,2.39E-15,-1,1,-1,1,-1
13,62967.37566,-0.258819045,0.5,-0.707106781,0.866025404,-0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
14,64762.65578,-0.5,0.866025404,-1,0.866025404,-0.5,-0.866025404,0.5,-4.29E-16,-0.5,0.866025404
15,64380.85053,-0.707106781,1,-0.707106781,2.39E-15,0.707106781,-0.707106781,1.19E-15,0.707106781,-1,0.707106781
16,42925.51635,-0.866025404,0.866025404,-4.90E-16,-0.866025404,0.866025404,-0.5,-0.5,1,-0.5,-0.5
17,37787.58424,-0.965925826,0.5,0.707106781,-0.866025404,-0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
18,37132.68217,-1,3.67E-16,1,-7.35E-16,-1,-1.84E-16,-1,5.51E-16,1,8.58E-16
19,33971.12255,-0.965925826,-0.5,0.707106781,0.866025404,-0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
20,20782.66756,-0.866025404,-0.866025404,2.39E-15,0.866025404,0.866025404,0.5,-0.5,-1,-0.5,0.5
21,19343.73901,-0.707106781,-1,-0.707106781,8.57E-16,0.707106781,0.707106781,-4.29E-16,-0.707106781,-1,-0.707106781
22,21022.35642,-0.5,-0.866025404,-1,-0.866025404,-0.5,0.866025404,0.5,1.10E-15,-0.5,-0.866025404
23,20477.75364,-0.258819045,-0.5,-0.707106781,-0.866025404,-0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
0,31395.79308,0,0,0,0,0,1,1,1,1,1
1,31427.34504,0.258819045,0.5,0.707106781,0.866025404,0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
2,31976.98552,0.5,0.866025404,1,0.866025404,0.5,0.866025404,0.5,6.12E-17,-0.5,-0.866025404
3,33165.61952,0.707106781,1,0.707106781,1.22E-16,-0.707106781,0.707106781,6.12E-17,-0.707106781,-1,-0.707106781
4,33640.48981,0.866025404,0.866025404,1.22E-16,-0.866025404,-0.866025404,0.5,-0.5,-1,-0.5,0.5
5,33387.01354,0.965925826,0.5,-0.707106781,-0.866025404,0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
6,36160.13934,1,1.22E-16,-1,-2.45E-16,1,6.12E-17,-1,-1.84E-16,1,1.19E-15
7,40994.74838,0.965925826,-0.5,-0.707106781,0.866025404,0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
8,44201.1171,0.866025404,-0.866025404,-2.45E-16,0.866025404,-0.866025404,-0.5,-0.5,1,-0.5,-0.5
9,45534.51892,0.707106781,-1,0.707106781,3.67E-16,-0.707106781,-0.707106781,-1.84E-16,0.707106781,-1,0.707106781
10,49726.42245,0.5,-0.866025404,1,-0.866025404,0.5,-0.866025404,0.5,1.19E-15,-0.5,0.866025404
11,53657.42572,0.258819045,-0.5,0.707106781,-0.866025404,0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
12,62196.34116,1.22E-16,-2.45E-16,3.67E-16,-4.90E-16,2.39E-15,-1,1,-1,1,-1
13,64139.83596,-0.258819045,0.5,-0.707106781,0.866025404,-0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
14,64870.5688,-0.5,0.866025404,-1,0.866025404,-0.5,-0.866025404,0.5,-4.29E-16,-0.5,0.866025404
15,62748.36792,-0.707106781,1,-0.707106781,2.39E-15,0.707106781,-0.707106781,1.19E-15,0.707106781,-1,0.707106781
16,54300.39637,-0.866025404,0.866025404,-4.90E-16,-0.866025404,0.866025404,-0.5,-0.5,1,-0.5,-0.5
17,24496.78424,-0.965925826,0.5,0.707106781,-0.866025404,-0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
18,23225.69091,-1,3.67E-16,1,-7.35E-16,-1,-1.84E-16,-1,5.51E-16,1,8.58E-16
19,21109.85346,-0.965925826,-0.5,0.707106781,0.866025404,-0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
20,20014.54963,-0.866025404,-0.866025404,2.39E-15,0.866025404,0.866025404,0.5,-0.5,-1,-0.5,0.5
21,20713.7305,-0.707106781,-1,-0.707106781,8.57E-16,0.707106781,0.707106781,-4.29E-16,-0.707106781,-1,-0.707106781
22,21231.81902,-0.5,-0.866025404,-1,-0.866025404,-0.5,0.866025404,0.5,1.10E-15,-0.5,-0.866025404
23,21923.84105,-0.258819045,-0.5,-0.707106781,-0.866025404,-0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
0,34572.20068,0,0,0,0,0,1,1,1,1,1
1,35000.40588,0.258819045,0.5,0.707106781,0.866025404,0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
2,32023.12032,0.5,0.866025404,1,0.866025404,0.5,0.866025404,0.5,6.12E-17,-0.5,-0.866025404
3,31960.81183,0.707106781,1,0.707106781,1.22E-16,-0.707106781,0.707106781,6.12E-17,-0.707106781,-1,-0.707106781
4,32127.85163,0.866025404,0.866025404,1.22E-16,-0.866025404,-0.866025404,0.5,-0.5,-1,-0.5,0.5
5,30218.29507,0.965925826,0.5,-0.707106781,-0.866025404,0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
6,27480.9635,1,1.22E-16,-1,-2.45E-16,1,6.12E-17,-1,-1.84E-16,1,1.19E-15
7,29015.60851,0.965925826,-0.5,-0.707106781,0.866025404,0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
8,29345.44583,0.866025404,-0.866025404,-2.45E-16,0.866025404,-0.866025404,-0.5,-0.5,1,-0.5,-0.5
9,29996.6359,0.707106781,-1,0.707106781,3.67E-16,-0.707106781,-0.707106781,-1.84E-16,0.707106781,-1,0.707106781
10,32700.02922,0.5,-0.866025404,1,-0.866025404,0.5,-0.866025404,0.5,1.19E-15,-0.5,0.866025404
11,36429.78931,0.258819045,-0.5,0.707106781,-0.866025404,0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
12,40396.05653,1.22E-16,-2.45E-16,3.67E-16,-4.90E-16,2.39E-15,-1,1,-1,1,-1
13,41977.10149,-0.258819045,0.5,-0.707106781,0.866025404,-0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
14,43274.44393,-0.5,0.866025404,-1,0.866025404,-0.5,-0.866025404,0.5,-4.29E-16,-0.5,0.866025404
15,45129.91141,-0.707106781,1,-0.707106781,2.39E-15,0.707106781,-0.707106781,1.19E-15,0.707106781,-1,0.707106781
16,44359.14205,-0.866025404,0.866025404,-4.90E-16,-0.866025404,0.866025404,-0.5,-0.5,1,-0.5,-0.5
17,43910.25573,-0.965925826,0.5,0.707106781,-0.866025404,-0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
18,43051.19391,-1,3.67E-16,1,-7.35E-16,-1,-1.84E-16,-1,5.51E-16,1,8.58E-16
19,41172.12874,-0.965925826,-0.5,0.707106781,0.866025404,-0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
20,37615.50674,-0.866025404,-0.866025404,2.39E-15,0.866025404,0.866025404,0.5,-0.5,-1,-0.5,0.5
21,38688.27345,-0.707106781,-1,-0.707106781,8.57E-16,0.707106781,0.707106781,-4.29E-16,-0.707106781,-1,-0.707106781
22,39205.83168,-0.5,-0.866025404,-1,-0.866025404,-0.5,0.866025404,0.5,1.10E-15,-0.5,-0.866025404
23,37846.97617,-0.258819045,-0.5,-0.707106781,-0.866025404,-0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
0,37751.52486,0,0,0,0,0,1,1,1,1,1
1,36526.56633,0.258819045,0.5,0.707106781,0.866025404,0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
2,35787.87922,0.5,0.866025404,1,0.866025404,0.5,0.866025404,0.5,6.12E-17,-0.5,-0.866025404
3,34183.23658,0.707106781,1,0.707106781,1.22E-16,-0.707106781,0.707106781,6.12E-17,-0.707106781,-1,-0.707106781
4,32910.5524,0.866025404,0.866025404,1.22E-16,-0.866025404,-0.866025404,0.5,-0.5,-1,-0.5,0.5
5,31845.73996,0.965925826,0.5,-0.707106781,-0.866025404,0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
6,30121.51804,1,1.22E-16,-1,-2.45E-16,1,6.12E-17,-1,-1.84E-16,1,1.19E-15
7,31343.56,0.965925826,-0.5,-0.707106781,0.866025404,0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
8,34222.47768,0.866025404,-0.866025404,-2.45E-16,0.866025404,-0.866025404,-0.5,-0.5,1,-0.5,-0.5
9,35377.70371,0.707106781,-1,0.707106781,3.67E-16,-0.707106781,-0.707106781,-1.84E-16,0.707106781,-1,0.707106781
10,38841.79097,0.5,-0.866025404,1,-0.866025404,0.5,-0.866025404,0.5,1.19E-15,-0.5,0.866025404
11,40847.85942,0.258819045,-0.5,0.707106781,-0.866025404,0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
12,43417.09061,1.22E-16,-2.45E-16,3.67E-16,-4.90E-16,2.39E-15,-1,1,-1,1,-1
13,46034.04746,-0.258819045,0.5,-0.707106781,0.866025404,-0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
14,46970.00062,-0.5,0.866025404,-1,0.866025404,-0.5,-0.866025404,0.5,-4.29E-16,-0.5,0.866025404
15,49456.2422,-0.707106781,1,-0.707106781,2.39E-15,0.707106781,-0.707106781,1.19E-15,0.707106781,-1,0.707106781
16,44863.7083,-0.866025404,0.866025404,-4.90E-16,-0.866025404,0.866025404,-0.5,-0.5,1,-0.5,-0.5
17,42272.73542,-0.965925826,0.5,0.707106781,-0.866025404,-0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
18,40789.7932,-1,3.67E-16,1,-7.35E-16,-1,-1.84E-16,-1,5.51E-16,1,8.58E-16
19,39048.33701,-0.965925826,-0.5,0.707106781,0.866025404,-0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
20,36764.92947,-0.866025404,-0.866025404,2.39E-15,0.866025404,0.866025404,0.5,-0.5,-1,-0.5,0.5
21,39164.2043,-0.707106781,-1,-0.707106781,8.57E-16,0.707106781,0.707106781,-4.29E-16,-0.707106781,-1,-0.707106781
22,40121.10372,-0.5,-0.866025404,-1,-0.866025404,-0.5,0.866025404,0.5,1.10E-15,-0.5,-0.866025404
23,38396.35151,-0.258819045,-0.5,-0.707106781,-0.866025404,-0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
0,38466.084,0,0,0,0,0,1,1,1,1,1
1,35228.69361,0.258819045,0.5,0.707106781,0.866025404,0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
2,33597.80186,0.5,0.866025404,1,0.866025404,0.5,0.866025404,0.5,6.12E-17,-0.5,-0.866025404
3,32437.53811,0.707106781,1,0.707106781,1.22E-16,-0.707106781,0.707106781,6.12E-17,-0.707106781,-1,-0.707106781
4,31458.897,0.866025404,0.866025404,1.22E-16,-0.866025404,-0.866025404,0.5,-0.5,-1,-0.5,0.5
5,34114.03438,0.965925826,0.5,-0.707106781,-0.866025404,0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
6,121761.4078,1,1.22E-16,-1,-2.45E-16,1,6.12E-17,-1,-1.84E-16,1,1.19E-15
7,196499.5213,0.965925826,-0.5,-0.707106781,0.866025404,0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
8,207673.6884,0.866025404,-0.866025404,-2.45E-16,0.866025404,-0.866025404,-0.5,-0.5,1,-0.5,-0.5
9,216114.7662,0.707106781,-1,0.707106781,3.67E-16,-0.707106781,-0.707106781,-1.84E-16,0.707106781,-1,0.707106781
10,223848.1786,0.5,-0.866025404,1,-0.866025404,0.5,-0.866025404,0.5,1.19E-15,-0.5,0.866025404
11,231970.5551,0.258819045,-0.5,0.707106781,-0.866025404,0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
12,231567.8036,1.22E-16,-2.45E-16,3.67E-16,-4.90E-16,2.39E-15,-1,1,-1,1,-1
13,232959.2717,-0.258819045,0.5,-0.707106781,0.866025404,-0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
14,222621.8944,-0.5,0.866025404,-1,0.866025404,-0.5,-0.866025404,0.5,-4.29E-16,-0.5,0.866025404
15,209835.3955,-0.707106781,1,-0.707106781,2.39E-15,0.707106781,-0.707106781,1.19E-15,0.707106781,-1,0.707106781
16,183554.7323,-0.866025404,0.866025404,-4.90E-16,-0.866025404,0.866025404,-0.5,-0.5,1,-0.5,-0.5
17,155098.0442,-0.965925826,0.5,0.707106781,-0.866025404,-0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
18,112668.3444,-1,3.67E-16,1,-7.35E-16,-1,-1.84E-16,-1,5.51E-16,1,8.58E-16
19,43745.33707,-0.965925826,-0.5,0.707106781,0.866025404,-0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
20,30635.62942,-0.866025404,-0.866025404,2.39E-15,0.866025404,0.866025404,0.5,-0.5,-1,-0.5,0.5
21,26320.43461,-0.707106781,-1,-0.707106781,8.57E-16,0.707106781,0.707106781,-4.29E-16,-0.707106781,-1,-0.707106781
22,22998.7289,-0.5,-0.866025404,-1,-0.866025404,-0.5,0.866025404,0.5,1.10E-15,-0.5,-0.866025404
23,24373.49296,-0.258819045,-0.5,-0.707106781,-0.866025404,-0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
0,32237.35549,0,0,0,0,0,1,1,1,1,1
1,34163.88118,0.258819045,0.5,0.707106781,0.866025404,0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
2,33056.38079,0.5,0.866025404,1,0.866025404,0.5,0.866025404,0.5,6.12E-17,-0.5,-0.866025404
3,31910.43474,0.707106781,1,0.707106781,1.22E-16,-0.707106781,0.707106781,6.12E-17,-0.707106781,-1,-0.707106781
4,32476.24892,0.866025404,0.866025404,1.22E-16,-0.866025404,-0.866025404,0.5,-0.5,-1,-0.5,0.5
5,37473.39034,0.965925826,0.5,-0.707106781,-0.866025404,0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
6,131285.5929,1,1.22E-16,-1,-2.45E-16,1,6.12E-17,-1,-1.84E-16,1,1.19E-15
7,187344.4146,0.965925826,-0.5,-0.707106781,0.866025404,0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
8,206903.7145,0.866025404,-0.866025404,-2.45E-16,0.866025404,-0.866025404,-0.5,-0.5,1,-0.5,-0.5
9,220151.8265,0.707106781,-1,0.707106781,3.67E-16,-0.707106781,-0.707106781,-1.84E-16,0.707106781,-1,0.707106781
10,220831.9171,0.5,-0.866025404,1,-0.866025404,0.5,-0.866025404,0.5,1.19E-15,-0.5,0.866025404
11,225051.1303,0.258819045,-0.5,0.707106781,-0.866025404,0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
12,224505.2018,1.22E-16,-2.45E-16,3.67E-16,-4.90E-16,2.39E-15,-1,1,-1,1,-1
13,230537.4597,-0.258819045,0.5,-0.707106781,0.866025404,-0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
14,235743.5335,-0.5,0.866025404,-1,0.866025404,-0.5,-0.866025404,0.5,-4.29E-16,-0.5,0.866025404
15,233702.4662,-0.707106781,1,-0.707106781,2.39E-15,0.707106781,-0.707106781,1.19E-15,0.707106781,-1,0.707106781
16,192474.3924,-0.866025404,0.866025404,-4.90E-16,-0.866025404,0.866025404,-0.5,-0.5,1,-0.5,-0.5
17,167006.9213,-0.965925826,0.5,0.707106781,-0.866025404,-0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
18,81330.35242,-1,3.67E-16,1,-7.35E-16,-1,-1.84E-16,-1,5.51E-16,1,8.58E-16
19,45515.6938,-0.965925826,-0.5,0.707106781,0.866025404,-0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
20,30197.61395,-0.866025404,-0.866025404,2.39E-15,0.866025404,0.866025404,0.5,-0.5,-1,-0.5,0.5
21,23711.69718,-0.707106781,-1,-0.707106781,8.57E-16,0.707106781,0.707106781,-4.29E-16,-0.707106781,-1,-0.707106781
22,22671.01272,-0.5,-0.866025404,-1,-0.866025404,-0.5,0.866025404,0.5,1.10E-15,-0.5,-0.866025404
23,23498.52258,-0.258819045,-0.5,-0.707106781,-0.866025404,-0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
0,32606.69905,0,0,0,0,0,1,1,1,1,1
1,36597.88968,0.258819045,0.5,0.707106781,0.866025404,0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
2,33499.43397,0.5,0.866025404,1,0.866025404,0.5,0.866025404,0.5,6.12E-17,-0.5,-0.866025404
3,32801.04853,0.707106781,1,0.707106781,1.22E-16,-0.707106781,0.707106781,6.12E-17,-0.707106781,-1,-0.707106781
4,32418.44785,0.866025404,0.866025404,1.22E-16,-0.866025404,-0.866025404,0.5,-0.5,-1,-0.5,0.5
5,39131.59177,0.965925826,0.5,-0.707106781,-0.866025404,0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
6,138466.1831,1,1.22E-16,-1,-2.45E-16,1,6.12E-17,-1,-1.84E-16,1,1.19E-15
7,202492.2729,0.965925826,-0.5,-0.707106781,0.866025404,0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
8,215498.0447,0.866025404,-0.866025404,-2.45E-16,0.866025404,-0.866025404,-0.5,-0.5,1,-0.5,-0.5
9,223917.1157,0.707106781,-1,0.707106781,3.67E-16,-0.707106781,-0.707106781,-1.84E-16,0.707106781,-1,0.707106781
10,237821.4555,0.5,-0.866025404,1,-0.866025404,0.5,-0.866025404,0.5,1.19E-15,-0.5,0.866025404
11,248814.7955,0.258819045,-0.5,0.707106781,-0.866025404,0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
12,254079.7308,1.22E-16,-2.45E-16,3.67E-16,-4.90E-16,2.39E-15,-1,1,-1,1,-1
13,247558.285,-0.258819045,0.5,-0.707106781,0.866025404,-0.965925826,-0.965925826,0.866025404,-0.707106781,0.5,-0.258819045
14,241252.9303,-0.5,0.866025404,-1,0.866025404,-0.5,-0.866025404,0.5,-4.29E-16,-0.5,0.866025404
15,245211.5084,-0.707106781,1,-0.707106781,2.39E-15,0.707106781,-0.707106781,1.19E-15,0.707106781,-1,0.707106781
16,231545.5317,-0.866025404,0.866025404,-4.90E-16,-0.866025404,0.866025404,-0.5,-0.5,1,-0.5,-0.5
17,207350.2145,-0.965925826,0.5,0.707106781,-0.866025404,-0.258819045,-0.258819045,-0.866025404,0.707106781,0.5,-0.965925826
18,121448.2744,-1,3.67E-16,1,-7.35E-16,-1,-1.84E-16,-1,5.51E-16,1,8.58E-16
19,57343.43728,-0.965925826,-0.5,0.707106781,0.866025404,-0.258819045,0.258819045,-0.866025404,-0.707106781,0.5,0.965925826
20,32944.75579,-0.866025404,-0.866025404,2.39E-15,0.866025404,0.866025404,0.5,-0.5,-1,-0.5,0.5
21,26065.89778,-0.707106781,-1,-0.707106781,8.57E-16,0.707106781,0.707106781,-4.29E-16,-0.707106781,-1,-0.707106781
22,26295.77636,-0.5,-0.866025404,-1,-0.866025404,-0.5,0.866025404,0.5,1.10E-15,-0.5,-0.866025404
23,28357.52473,-0.258819045,-0.5,-0.707106781,-0.866025404,-0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
0,41631.35562,0,0,0,0,0,1,1,1,1,1
1,43447.05172,0.258819045,0.5,0.707106781,0.866025404,0.965925826,0.965925826,0.866025404,0.707106781,0.5,0.258819045
2,42840.67073,0.5,0.866025404,1,0.866025404,0.5,0.866025404,0.5,6.12E-17,-0.5,-0.866025404
3,47155.33526,0.707106781,1,0.707106781,1.22E-16,-0.707106781,0.707106781,6.12E-17,-0.707106781,-1,-0.707106781
